[2026-06-22T23:25:41.856Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dPIFZifjKcF5UAWdDRYEF8RXi4EwQ.woff2 → 200 (1ms, 9464B)
[2026-06-22T23:25:41.856Z] GET http://localhost:8793/ai/catalog.json → 200 (12ms, 4657B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-014.jpg → 404 (1ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-021.jpg → 404 (2ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-033.jpg → 404 (3ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-040.jpg → 404 (5ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-052.jpg → 404 (4ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-058.jpg → 404 (5ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-061.jpg → 404 (4ms, 460B)
[2026-06-22T23:25:41.903Z] GET http://localhost:8793/assets/products/oc-067.jpg → 404 (5ms, 460B)
[2026-06-22T23:25:41.904Z] GET http://localhost:8793/assets/pair.jpg → 200 (4ms, 129291B)
[2026-06-22T23:25:41.906Z] GET http://localhost:8793/assets/sn_157811.jpg → 200 (3ms, 71681B)
[2026-06-22T23:25:41.906Z] GET http://localhost:8793/assets/sn_155148.jpg → 200 (3ms, 144993B)
[2026-06-22T23:25:41.907Z] GET http://localhost:8793/assets/sn_154350.jpg → 200 (2ms, 168187B)
[2026-06-22T23:25:41.908Z] GET http://localhost:8793/assets/sn_153918.jpg → 200 (1ms, 84235B)
[2026-06-22T23:25:41.908Z] GET http://localhost:8793/assets/sn_159534.jpg → 200 (1ms, 109787B)
[2026-06-22T23:25:41.908Z] GET http://localhost:8793/assets/sn_154221.jpg → 200 (1ms, 60347B)
[2026-06-22T23:25:41.909Z] GET http://localhost:8793/assets/sn_154929.jpg → 200 (?ms, 197298B)
[2026-06-22T23:35:28.413Z] GET http://localhost:8794/index.html → 200 (3ms, 7823B)
